Id,Class
14673,10
14674,10
14675,9
14676,10
14677,9
14678,8
14679,8
14680,10
14681,9
14682,8
14683,10
14684,6
14685,9
14686,7
14687,6
14688,6
14689,5
14690,3
14691,10
14692,6
14693,5
14694,3
14695,9
14696,10
14697,10
14698,2
14699,10
14700,6
14701,8
14702,9
14703,7
14704,10
14705,6
14706,5
14707,5
14708,10
14709,4
14710,9
14711,2
14712,10
14713,9
14714,10
14715,6
14716,8
14717,6
14718,10
14719,2
14720,10
14721,5
14722,10
14723,5
14724,10
14725,9
14726,6
14727,10
14728,8
14729,4
14730,5
14731,10
14732,0
14733,9
14734,10
14735,6
14736,10
14737,0
14738,10
14739,10
14740,10
14741,3
14742,7
14743,10
14744,6
14745,10
14746,9
14747,8
14748,8
14749,8
14750,10
14751,10
14752,10
14753,8
14754,8
14755,9
14756,8
14757,9
14758,10
14759,10
14760,6
14761,10
14762,4
14763,10
14764,9
14765,2
14766,10
14767,9
14768,10
14769,6
14770,10
14771,2
14772,10
14773,2
14774,10
14775,2
14776,9
14777,6
14778,10
14779,0
14780,6
14781,4
14782,9
14783,10
14784,10
14785,10
14786,10
14787,8
14788,10
14789,9
14790,6
14791,6
14792,0
14793,6
14794,10
14795,10
14796,10
14797,5
14798,10
14799,8
14800,5
14801,9
14802,5
14803,7
14804,10
14805,0
14806,9
14807,10
14808,6
14809,9
14810,6
14811,6
14812,6
14813,9
14814,5
14815,10
14816,10
14817,10
14818,6
14819,0
14820,8
14821,10
14822,8
14823,10
14824,8
14825,9
14826,8
14827,10
14828,8
14829,10
14830,8
14831,10
14832,2
14833,10
14834,10
14835,10
14836,8
14837,5
14838,10
14839,8
14840,1
14841,10
14842,8
14843,5
14844,6
14845,1
14846,10
14847,6
14848,6
14849,9
14850,6
14851,10
14852,6
14853,9
14854,6
14855,10
14856,5
14857,9
14858,6
14859,0
14860,2
14861,0
14862,8
14863,1
14864,8
14865,9
14866,8
14867,10
14868,1
14869,8
14870,8
14871,1
14872,1
14873,9
14874,10
14875,5
14876,10
14877,10
14878,5
14879,8
14880,2
14881,10
14882,10
14883,10
14884,9
14885,5
14886,0
14887,6
14888,9
14889,10
14890,1
14891,8
14892,5
14893,10
14894,9
14895,10
14896,9
14897,6
14898,9
14899,4
14900,2
14901,9
14902,1
14903,9
14904,9
14905,9
14906,10
14907,6
14908,10
14909,10
14910,9
14911,5
14912,6
14913,4
14914,7
14915,5
14916,6
14917,10
14918,10
14919,8
14920,10
14921,10
14922,7
14923,10
14924,9
14925,3
14926,6
14927,1
14928,10
14929,10
14930,6
14931,10
14932,8
14933,10
14934,0
14935,10
14936,1
14937,10
14938,6
14939,6
14940,8
14941,8
14942,10
14943,5
14944,9
14945,9
14946,6
14947,2
14948,9
14949,10
14950,5
14951,7
14952,2
14953,4
14954,8
14955,10
14956,10
14957,7
14958,1
14959,10
14960,10
14961,4
14962,10
14963,3
14964,2
14965,10
14966,1
14967,10
14968,10
14969,10
14970,8
14971,9
14972,10
14973,9
14974,10
14975,4
14976,2
14977,9
14978,6
14979,10
14980,10
14981,9
14982,10
14983,6
14984,9
14985,2
14986,8
14987,6
14988,10
14989,9
14990,10
14991,6
14992,6
14993,10
14994,10
14995,10
14996,1
14997,10
14998,10
14999,6
15000,10
15001,8
15002,2
15003,10
15004,2
15005,5
15006,5
15007,10
15008,6
15009,4
15010,6
15011,10
15012,4
15013,7
15014,8
15015,8
15016,4
15017,8
15018,10
15019,10
15020,2
15021,6
15022,5
15023,10
15024,6
15025,10
15026,10
15027,10
15028,10
15029,10
15030,2
15031,6
15032,9
15033,1
15034,2
15035,3
15036,6
15037,2
15038,10
15039,10
15040,9
15041,10
15042,8
15043,10
15044,8
15045,5
15046,9
15047,5
15048,2
15049,9
15050,9
15051,5
15052,10
15053,10
15054,10
15055,10
15056,10
15057,10
15058,9
15059,6
15060,10
15061,7
15062,8
15063,9
15064,9
15065,0
15066,9
15067,7
15068,6
15069,7
15070,9
15071,9
15072,5
15073,8
15074,7
15075,9
15076,10
15077,10
15078,2
15079,2
15080,9
15081,4
15082,10
15083,10
15084,10
15085,10
15086,10
15087,6
15088,4
15089,2
15090,6
15091,8
15092,6
15093,10
15094,9
15095,8
15096,2
15097,9
15098,4
15099,10
15100,10
15101,9
15102,7
15103,10
15104,9
15105,8
15106,6
15107,10
15108,10
15109,10
15110,7
15111,6
15112,10
15113,10
15114,10
15115,6
15116,9
15117,2
15118,7
15119,10
15120,10
15121,9
15122,8
15123,10
15124,9
15125,5
15126,10
15127,10
15128,2
15129,10
15130,8
15131,9
15132,10
15133,7
15134,1
15135,2
15136,9
15137,10
15138,9
15139,6
15140,0
15141,10
15142,10
15143,9
15144,2
15145,4
15146,8
15147,8
15148,6
15149,10
15150,10
15151,10
15152,6
15153,10
15154,2
15155,10
15156,8
15157,6
15158,8
15159,8
15160,0
15161,9
15162,9
15163,10
15164,3
15165,10
15166,10
15167,2
15168,5
15169,1
15170,10
15171,5
15172,5
15173,2
15174,6
15175,9
15176,10
15177,2
15178,6
15179,9
15180,10
15181,10
15182,5
15183,6
15184,8
15185,6
15186,2
15187,8
15188,10
15189,8
15190,10
15191,1
15192,7
15193,8
15194,6
15195,10
15196,10
15197,10
15198,10
15199,5
15200,5
15201,5
15202,8
15203,10
15204,6
15205,5
15206,10
15207,10
15208,9
15209,10
15210,4
15211,6
15212,1
15213,6
15214,0
15215,10
15216,9
15217,5
15218,7
15219,10
15220,2
15221,9
15222,4
15223,6
15224,6
15225,6
15226,4
15227,8
15228,10
15229,10
15230,10
15231,10
15232,10
15233,10
15234,8
15235,9
15236,5
15237,2
15238,9
15239,8
15240,10
15241,6
15242,6
15243,2
15244,10
15245,6
15246,10
15247,9
15248,6
15249,7
15250,10
15251,10
15252,10
15253,5
15254,9
15255,1
15256,10
15257,10
15258,4
15259,9
15260,10
15261,6
15262,10
15263,6
15264,10
15265,10
15266,10
15267,8
15268,10
15269,10
15270,8
15271,5
15272,9
15273,10
15274,10
15275,9
15276,0
15277,4
15278,10
15279,10
15280,7
15281,10
15282,3
15283,10
15284,7
15285,9
15286,10
15287,9
15288,10
15289,6
15290,10
15291,10
15292,9
15293,10
15294,8
15295,7
15296,2
15297,9
15298,8
15299,7
15300,0
15301,10
15302,10
15303,2
15304,10
15305,8
15306,6
15307,1
15308,10
15309,10
15310,10
15311,10
15312,10
15313,2
15314,7
15315,2
15316,10
15317,10
15318,10
15319,6
15320,9
15321,9
15322,7
15323,9
15324,10
15325,2
15326,5
15327,8
15328,9
15329,9
15330,6
15331,10
15332,9
15333,10
15334,10
15335,10
15336,10
15337,2
15338,9
15339,10
15340,10
15341,9
15342,0
15343,10
15344,0
15345,9
15346,3
15347,5
15348,10
15349,10
15350,9
15351,9
15352,10
15353,5
15354,6
15355,9
15356,5
15357,5
15358,8
15359,5
15360,5
15361,6
15362,10
15363,10
15364,6
15365,9
15366,10
15367,6
15368,9
15369,8
15370,9
15371,10
15372,10
15373,10
15374,8
15375,10
15376,10
15377,0
15378,2
15379,8
15380,2
15381,9
15382,7
15383,9
15384,10
15385,5
15386,10
15387,2
15388,5
15389,10
15390,6
15391,8
15392,10
15393,5
15394,10
15395,5
15396,1
15397,10
15398,10
15399,9
15400,10
15401,9
15402,10
15403,10
15404,10
15405,10
15406,6
15407,10
15408,8
15409,2
15410,1
15411,9
15412,10
15413,10
15414,10
15415,8
15416,2
15417,8
15418,6
15419,10
15420,10
15421,10
15422,5
15423,9
15424,8
15425,10
15426,8
15427,7
15428,5
15429,10
15430,10
15431,9
15432,3
15433,10
15434,10
15435,5
15436,9
15437,1
15438,2
15439,10
15440,6
15441,8
15442,5
15443,8
15444,10
15445,0
15446,6
15447,0
15448,10
15449,10
15450,9
15451,8
15452,5
15453,10
15454,10
15455,2
15456,3
15457,10
15458,10
15459,10
15460,10
15461,2
15462,10
15463,8
15464,10
15465,9
15466,10
15467,9
15468,10
15469,0
15470,0
15471,6
15472,10
15473,9
15474,6
15475,6
15476,10
15477,5
15478,8
15479,10
15480,5
15481,6
15482,10
15483,10
15484,8
15485,4
15486,8
15487,10
15488,6
15489,5
15490,4
15491,2
15492,10
15493,2
15494,6
15495,8
15496,9
15497,6
15498,2
15499,7
15500,6
15501,10
15502,8
15503,7
15504,10
15505,10
15506,6
15507,2
15508,9
15509,10
15510,6
15511,5
15512,8
15513,6
15514,9
15515,5
15516,6
15517,9
15518,10
15519,2
15520,9
15521,10
15522,10
15523,8
15524,7
15525,10
15526,10
15527,0
15528,9
15529,6
15530,6
15531,9
15532,0
15533,6
15534,2
15535,10
15536,6
15537,8
15538,2
15539,10
15540,9
15541,10
15542,10
15543,10
15544,6
15545,10
15546,2
15547,6
15548,10
15549,5
15550,10
15551,8
15552,10
15553,2
15554,10
15555,1
15556,6
15557,2
15558,8
15559,10
15560,10
15561,10
15562,6
15563,0
15564,9
15565,7
15566,6
15567,10
15568,6
15569,0
15570,9
15571,10
15572,10
15573,5
15574,10
15575,8
15576,6
15577,10
15578,10
15579,10
15580,7
15581,7
15582,6
15583,5
15584,8
15585,0
15586,2
15587,10
15588,0
15589,5
15590,9
15591,6
15592,0
15593,6
15594,10
15595,10
15596,10
15597,5
15598,2
15599,10
15600,6
15601,7
15602,6
15603,8
15604,10
15605,5
15606,9
15607,10
15608,4
15609,4
15610,10
15611,6
15612,8
15613,2
15614,10
15615,10
15616,10
15617,6
15618,9
15619,6
15620,9
15621,10
15622,9
15623,8
15624,10
15625,5
15626,10
15627,6
15628,10
15629,9
15630,8
15631,2
15632,2
15633,5
15634,10
15635,5
15636,9
15637,5
15638,3
15639,10
15640,2
15641,2
15642,8
15643,9
15644,8
15645,10
15646,5
15647,9
15648,10
15649,6
15650,9
15651,6
15652,1
15653,8
15654,10
15655,0
15656,10
15657,6
15658,9
15659,8
15660,1
15661,6
15662,8
15663,6
15664,10
15665,9
15666,9
15667,2
15668,9
15669,9
15670,1
15671,6
15672,2
15673,10
15674,6
15675,10
15676,9
15677,5
15678,3
15679,6
15680,10
15681,10
15682,5
15683,8
15684,10
15685,6
15686,10
15687,10
15688,5
15689,9
15690,8
15691,4
15692,10
15693,9
15694,5
15695,10
15696,0
15697,0
15698,10
15699,10
15700,6
15701,6
15702,3
15703,10
15704,9
15705,3
15706,6
15707,6
15708,4
15709,5
15710,8
15711,5
15712,10
15713,9
15714,7
15715,10
15716,8
15717,9
15718,8
15719,6
15720,2
15721,10
15722,10
15723,2
15724,1
15725,10
15726,10
15727,4
15728,9
15729,10
15730,6
15731,6
15732,3
15733,9
15734,2
15735,3
15736,10
15737,5
15738,5
15739,10
15740,2
15741,6
15742,8
15743,4
15744,6
15745,9
15746,8
15747,10
15748,8
15749,10
15750,7
15751,10
15752,10
15753,4
15754,5
15755,7
15756,8
15757,10
15758,10
15759,8
15760,2
15761,6
15762,5
15763,1
15764,6
15765,9
15766,6
15767,2
15768,1
15769,10
15770,6
15771,9
15772,10
15773,1
15774,10
15775,8
15776,5
15777,9
15778,10
15779,0
15780,8
15781,10
15782,2
15783,5
15784,10
15785,7
15786,9
15787,2
15788,10
15789,1
15790,10
15791,10
15792,6
15793,5
15794,10
15795,6
15796,0
15797,1
15798,0
15799,2
15800,9
15801,9
15802,6
15803,4
15804,9
15805,8
15806,9
15807,10
15808,10
15809,10
15810,3
15811,9
15812,6
15813,1
15814,7
15815,2
15816,10
15817,6
15818,10
15819,10
15820,6
15821,10
15822,9
15823,4
15824,0
15825,6
15826,9
15827,8
15828,10
15829,6
15830,10
15831,6
15832,9
15833,10
15834,8
15835,2
15836,10
15837,10
15838,1
15839,10
15840,6
15841,10
15842,6
15843,10
15844,8
15845,10
15846,10
15847,10
15848,4
15849,9
15850,3
15851,10
15852,0
15853,9
15854,5
15855,9
15856,10
15857,4
15858,8
15859,9
15860,10
15861,9
15862,10
15863,6
15864,4
15865,10
15866,10
15867,10
15868,10
15869,2
15870,10
15871,10
15872,4
15873,10
15874,10
15875,10
15876,10
15877,9
15878,5
15879,10
15880,9
15881,10
15882,10
15883,9
15884,10
15885,10
15886,10
15887,7
15888,8
15889,10
15890,0
15891,10
15892,2
15893,5
15894,10
15895,2
15896,4
15897,10
15898,1
15899,8
15900,10
15901,2
15902,5
15903,0
15904,8
15905,10
15906,2
15907,6
15908,10
15909,9
15910,7
15911,10
15912,10
15913,10
15914,4
15915,10
15916,10
15917,2
15918,9
15919,2
15920,6
15921,10
15922,6
15923,8
15924,10
15925,10
15926,6
15927,10
15928,9
15929,9
15930,8
15931,1
15932,1
15933,10
15934,9
15935,1
15936,3
15937,10
15938,9
15939,6
15940,10
15941,9
15942,10
15943,5
15944,7
15945,9
15946,5
15947,9
15948,1
15949,9
15950,10
15951,9
15952,10
15953,1
15954,8
15955,10
15956,0
15957,10
15958,9
15959,10
15960,10
15961,3
15962,2
15963,6
15964,7
15965,10
15966,8
15967,6
15968,3
15969,10
15970,6
15971,10
15972,3
15973,0
15974,10
15975,6
15976,8
15977,10
15978,8
15979,6
15980,8
15981,9
15982,9
15983,5
15984,9
15985,6
15986,10
15987,3
15988,9
15989,9
15990,5
15991,8
15992,2
15993,2
15994,6
15995,5
15996,4
15997,8
15998,9
15999,3
16000,6
16001,10
16002,10
16003,2
16004,1
16005,4
16006,2
16007,5
16008,7
16009,6
16010,10
16011,5
16012,10
16013,10
16014,5
16015,9
16016,6
16017,5
16018,9
16019,5
16020,7
16021,6
16022,9
16023,10
16024,10
16025,6
16026,9
16027,8
16028,1
16029,1
16030,1
16031,10
16032,2
16033,10
16034,4
16035,5
16036,9
16037,8
16038,10
16039,10
16040,1
16041,10
16042,10
16043,6
16044,5
16045,10
16046,9
16047,10
16048,8
16049,5
16050,8
16051,10
16052,10
16053,5
16054,9
16055,6
16056,10
16057,10
16058,7
16059,6
16060,8
16061,10
16062,10
16063,10
16064,5
16065,10
16066,9
16067,9
16068,10
16069,2
16070,2
16071,7
16072,0
16073,6
16074,8
16075,3
16076,10
16077,5
16078,9
16079,10
16080,3
16081,9
16082,5
16083,8
16084,8
16085,2
16086,7
16087,3
16088,9
16089,10
16090,10
16091,9
16092,10
16093,9
16094,6
16095,8
16096,2
16097,5
16098,8
16099,5
16100,10
16101,8
16102,10
16103,10
16104,2
16105,10
16106,10
16107,8
16108,9
16109,9
16110,5
16111,5
16112,1
16113,8
16114,2
16115,5
16116,10
16117,10
16118,6
16119,0
16120,10
16121,10
16122,9
16123,10
16124,10
16125,9
16126,6
16127,10
16128,5
16129,2
16130,7
16131,8
16132,6
16133,6
16134,10
16135,5
16136,8
16137,10
16138,8
16139,1
16140,5
16141,10
16142,6
16143,8
16144,10
16145,8
16146,9
16147,8
16148,4
16149,5
16150,5
16151,6
16152,10
16153,10
16154,0
16155,1
16156,10
16157,8
16158,9
16159,6
16160,10
16161,10
16162,4
16163,10
16164,9
16165,9
16166,10
16167,9
16168,8
16169,2
16170,2
16171,10
16172,10
16173,8
16174,10
16175,9
16176,5
16177,9
16178,10
16179,10
16180,10
16181,0
16182,6
16183,5
16184,3
16185,10
16186,6
16187,6
16188,10
16189,9
16190,9
16191,10
16192,5
16193,0
16194,6
16195,6
16196,5
16197,2
16198,8
16199,6
16200,10
16201,8
16202,10
16203,3
16204,7
16205,0
16206,10
16207,10
16208,4
16209,5
16210,6
16211,4
16212,6
16213,8
16214,6
16215,6
16216,7
16217,10
16218,10
16219,10
16220,10
16221,8
16222,2
16223,6
16224,10
16225,10
16226,6
16227,0
16228,10
16229,10
16230,8
16231,8
16232,8
16233,6
16234,10
16235,6
16236,5
16237,10
16238,10
16239,4
16240,9
16241,8
16242,7
16243,5
16244,5
16245,9
16246,9
16247,10
16248,2
16249,9
16250,5
16251,0
16252,5
16253,5
16254,2
16255,10
16256,6
16257,10
16258,10
16259,6
16260,10
16261,2
16262,9
16263,1
16264,9
16265,5
16266,0
16267,6
16268,6
16269,7
16270,2
16271,10
16272,6
16273,3
16274,2
16275,10
16276,9
16277,2
16278,1
16279,9
16280,2
16281,1
16282,10
16283,1
16284,2
16285,1
16286,10
16287,6
16288,10
16289,5
16290,9
16291,5
16292,9
16293,9
16294,9
16295,10
16296,9
16297,5
16298,5
16299,9
16300,5
16301,9
16302,8
16303,7
16304,10
16305,10
16306,8
16307,6
16308,5
16309,6
16310,0
16311,9
16312,7
16313,2
16314,8
16315,8
16316,10
16317,10
16318,10
16319,3
16320,0
16321,2
16322,9
16323,1
16324,10
16325,10
16326,8
16327,7
16328,10
16329,6
16330,5
16331,10
16332,6
16333,1
16334,10
16335,6
16336,2
16337,6
16338,6
16339,8
16340,8
16341,10
16342,5
16343,5
16344,10
16345,0
16346,9
16347,8
16348,6
16349,10
16350,1
16351,2
16352,2
16353,0
16354,10
16355,10
16356,5
16357,10
16358,10
16359,1
16360,10
16361,10
16362,10
16363,5
16364,6
16365,5
16366,10
16367,10
16368,8
16369,8
16370,10
16371,2
16372,8
16373,2
16374,10
16375,6
16376,10
16377,2
16378,10
16379,9
16380,6
16381,10
16382,6
16383,9
16384,10
16385,10
16386,10
16387,2
16388,6
16389,6
16390,8
16391,9
16392,6
16393,4
16394,9
16395,3
16396,10
16397,9
16398,10
16399,6
16400,9
16401,0
16402,9
16403,0
16404,6
16405,6
16406,10
16407,9
16408,6
16409,5
16410,0
16411,10
16412,10
16413,0
16414,7
16415,6
16416,9
16417,1
16418,10
16419,6
16420,10
16421,2
16422,5
16423,8
16424,10
16425,9
16426,5
16427,10
16428,10
16429,5
16430,6
16431,10
16432,9
16433,10
16434,10
16435,10
16436,6
16437,2
16438,3
16439,2
16440,1
16441,7
16442,2
16443,10
16444,10
16445,5
16446,2
16447,4
16448,6
16449,10
16450,5
16451,5
16452,10
16453,6
16454,1
16455,10
16456,9
16457,5
16458,10
16459,9
16460,3
16461,10
16462,2
16463,6
16464,4
16465,10
16466,6
16467,10
16468,5
16469,10
16470,10
16471,6
16472,6
16473,0
16474,2
16475,10
16476,8
16477,6
16478,5
16479,6
16480,8
16481,8
16482,2
16483,4
16484,8
16485,10
16486,1
16487,10
16488,2
16489,6
16490,9
16491,2
16492,10
16493,1
16494,2
16495,10
16496,1
16497,8
16498,2
16499,10
16500,10
16501,10
16502,10
16503,0
16504,10
16505,10
16506,9
16507,10
16508,6
16509,10
16510,10
16511,9
16512,9
16513,0
16514,10
16515,1
16516,9
16517,5
16518,2
16519,6
16520,10
16521,10
16522,10
16523,10
16524,8
16525,6
16526,8
16527,2
16528,5
16529,6
16530,6
16531,3
16532,5
16533,10
16534,9
16535,6
16536,6
16537,9
16538,9
16539,10
16540,10
16541,6
16542,2
16543,9
16544,1
16545,10
16546,2
16547,10
16548,10
16549,6
16550,1
16551,8
16552,2
16553,1
16554,6
16555,9
16556,10
16557,6
16558,10
16559,6
16560,9
16561,10
16562,0
16563,8
16564,2
16565,10
16566,8
16567,10
16568,8
16569,10
16570,6
16571,7
16572,1
16573,3
16574,6
16575,9
16576,9
16577,9
16578,5
16579,6
16580,0
16581,6
16582,10
16583,0
16584,4
16585,8
16586,10
16587,3
16588,10
16589,10
16590,7
16591,10
16592,10
16593,6
16594,7
16595,10
16596,9
16597,2
16598,10
16599,8
16600,5
16601,2
16602,10
16603,9
16604,10
16605,9
16606,10
16607,10
16608,6
16609,9
16610,7
16611,10
16612,10
16613,9
16614,6
16615,2
16616,8
16617,2
16618,5
16619,5
16620,8
16621,5
16622,10
16623,5
16624,8
16625,9
16626,10
16627,10
16628,8
16629,10
16630,10
16631,10
16632,10
16633,10
16634,1
16635,10
16636,6
16637,8
16638,9
16639,10
16640,8
16641,6
16642,8
16643,1
16644,8
16645,6
16646,8
16647,8
16648,9
16649,10
16650,8
16651,7
16652,8
16653,10
16654,6
16655,10
16656,10
16657,2
16658,9
16659,9
16660,3
16661,4
16662,10
16663,8
16664,10
16665,9
16666,0
16667,6
16668,10
16669,7
16670,7
16671,6
16672,8
16673,8
16674,10
16675,9
16676,10
16677,9
16678,10
16679,10
16680,10
16681,10
16682,7
16683,3
16684,10
16685,3
16686,1
16687,9
16688,8
16689,6
16690,5
16691,6
16692,10
16693,5
16694,10
16695,2
16696,3
16697,3
16698,9
16699,2
16700,9
16701,9
16702,0
16703,8
16704,7
16705,6
16706,10
16707,0
16708,0
16709,10
16710,2
16711,10
16712,10
16713,10
16714,10
16715,9
16716,3
16717,9
16718,8
16719,10
16720,8
16721,6
16722,6
16723,5
16724,10
16725,4
16726,7
16727,1
16728,2
16729,1
16730,10
16731,10
16732,7
16733,4
16734,2
16735,6
16736,6
16737,2
16738,10
16739,10
16740,10
16741,10
16742,10
16743,9
16744,10
16745,9
16746,4
16747,6
16748,10
16749,2
16750,7
16751,6
16752,7
16753,9
16754,9
16755,5
16756,2
16757,10
16758,2
16759,6
16760,9
16761,0
16762,8
16763,0
16764,9
16765,10
16766,5
16767,10
16768,6
16769,5
16770,6
16771,8
16772,8
16773,10
16774,10
16775,10
16776,6
16777,10
16778,6
16779,9
16780,6
16781,9
16782,5
16783,9
16784,1
16785,6
16786,10
16787,6
16788,10
16789,10
16790,10
16791,10
16792,2
16793,9
16794,8
16795,6
16796,6
16797,10
16798,10
16799,5
16800,6
16801,8
16802,8
16803,9
16804,6
16805,5
16806,6
16807,6
16808,8
16809,2
16810,5
16811,5
16812,10
16813,9
16814,10
16815,10
16816,9
16817,1
16818,9
16819,9
16820,9
16821,8
16822,10
16823,7
16824,2
16825,4
16826,8
16827,6
16828,5
16829,10
16830,6
16831,10
16832,5
16833,10
16834,9
16835,8
16836,6
16837,10
16838,10
16839,0
16840,3
16841,10
16842,6
16843,10
16844,3
16845,10
16846,1
16847,10
16848,10
16849,8
16850,10
16851,6
16852,2
16853,10
16854,4
16855,5
16856,8
16857,10
16858,5
16859,5
16860,2
16861,9
16862,6
16863,5
16864,10
16865,1
16866,8
16867,8
16868,9
16869,2
16870,5
16871,9
16872,10
16873,2
16874,10
16875,8
16876,10
16877,10
16878,2
16879,8
16880,10
16881,9
16882,6
16883,3
16884,8
16885,1
16886,6
16887,10
16888,5
16889,6
16890,10
16891,10
16892,10
16893,4
16894,10
16895,10
16896,5
16897,9
16898,8
16899,8
16900,10
16901,9
16902,9
16903,6
16904,10
16905,2
16906,6
16907,8
16908,9
16909,10
16910,10
16911,5
16912,4
16913,8
16914,3
16915,6
16916,10
16917,7
16918,9
16919,5
16920,0
16921,3
16922,8
16923,6
16924,4
16925,0
16926,6
16927,5
16928,6
16929,8
16930,9
16931,10
16932,6
16933,10
16934,10
16935,10
16936,4
16937,10
16938,8
16939,10
16940,9
16941,9
16942,10
16943,0
16944,6
16945,4
16946,7
16947,10
16948,9
16949,9
16950,10
16951,10
16952,8
16953,2
16954,9
16955,7
16956,3
16957,9
16958,9
16959,10
16960,8
16961,9
16962,10
16963,6
16964,10
16965,6
16966,8
16967,8
16968,6
16969,0
16970,10
16971,5
16972,10
16973,10
16974,0
16975,6
16976,5
16977,9
16978,6
16979,9
16980,9
16981,5
16982,10
16983,6
16984,6
16985,7
16986,10
16987,7
16988,1
16989,8
16990,9
16991,6
16992,2
16993,6
16994,10
16995,8
16996,10
16997,7
16998,10
16999,6
17000,8
17001,10
17002,9
17003,10
17004,0
17005,2
17006,10
17007,5
17008,6
17009,1
17010,5
17011,10
17012,10
17013,8
17014,10
17015,2
17016,6
17017,9
17018,10
17019,5
17020,2
17021,10
17022,9
17023,10
17024,0
17025,9
17026,9
17027,7
17028,6
17029,8
17030,8
17031,1
17032,5
17033,0
17034,0
17035,8
17036,8
17037,8
17038,8
17039,5
17040,1
17041,7
17042,6
17043,8
17044,6
17045,5
17046,6
17047,9
17048,5
17049,8
17050,0
17051,0
17052,7
17053,10
17054,10
17055,8
17056,8
17057,10
17058,6
17059,10
17060,6
17061,10
17062,6
17063,5
17064,10
17065,6
17066,5
17067,9
17068,0
17069,4
17070,2
17071,10
17072,6
17073,8
17074,8
17075,3
17076,9
17077,9
17078,9
17079,6
17080,10
17081,6
17082,9
17083,0
17084,3
17085,1
17086,9
17087,10
17088,10
17089,9
17090,0
17091,6
17092,10
17093,10
17094,6
17095,10
17096,0
17097,10
17098,6
17099,9
17100,10
17101,10
17102,9
17103,10
17104,0
17105,3
17106,10
17107,0
17108,6
17109,6
17110,6
17111,10
17112,10
17113,10
17114,8
17115,6
17116,0
17117,8
17118,9
17119,9
17120,8
17121,10
17122,4
17123,6
17124,6
17125,3
17126,0
17127,9
17128,4
17129,10
17130,5
17131,10
17132,7
17133,9
17134,10
17135,5
17136,9
17137,5
17138,10
17139,5
17140,10
17141,10
17142,10
17143,9
17144,10
17145,4
17146,6
17147,10
17148,10
17149,10
17150,10
17151,6
17152,8
17153,6
17154,4
17155,7
17156,8
17157,6
17158,9
17159,8
17160,7
17161,6
17162,9
17163,6
17164,7
17165,2
17166,10
17167,1
17168,0
17169,6
17170,1
17171,9
17172,10
17173,6
17174,10
17175,10
17176,10
17177,8
17178,10
17179,5
17180,10
17181,10
17182,8
17183,10
17184,2
17185,9
17186,10
17187,9
17188,0
17189,10
17190,10
17191,10
17192,2
17193,5
