Artist Name,Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_in min/ms,time_signature,Class
1779,50.0,0.417,0.958,5.0,-3.604,0,0.122,0.00592,0.000255,0.11,0.176,129.933,211096.0,4,8
7336,62.0,0.374,0.903,10.0,-4.49,1,0.0825,0.00075,5.85e-06,0.244,0.429,109.118,263080.0,3,10
1605,28.0,0.432,0.586,7.0,-7.618,1,0.0277,0.435,4.86e-06,0.144,0.193,81.924,209746.0,4,9
4421,51.0,0.649,0.914,9.0,-6.199,1,0.0455,0.00573,0.000165,0.0997,0.739,139.125,209760.0,4,10
7191,62.0,0.504,0.597,10.0,-6.237,1,0.1,0.206,0.00392,0.0949,0.557,117.974,230489.0,4,10
7221,62.0,0.419,0.932,1.0,-3.604,0,0.106,0.00171,0.00392,0.137,0.445,169.881,268000.0,4,8
146,14.0,0.488,0.585,1.0,-8.935,1,0.0365,0.499,0.0221,0.111,0.204,135.429,195923.0,4,6
2903,21.0,0.176,0.907,5.0,-6.901,0,0.142,0.0016,0.027,0.103,0.182,101.795,280960.0,5,8
7694,36.0,0.474,0.943,7.0,-1.973,0,0.0577,3.6e-05,0.000114,0.364,0.423,103.441,202567.0,4,10
5203,38.0,0.452,0.915,11.0,-3.836,1,0.0355,9.51e-06,0.000188,0.0709,0.522,104.995,230653.0,3,8
437,34.0,0.62,0.848,6.0,-7.201,1,0.0391,0.354,0.00103,0.698,0.732,133.557,132880.0,4,10
2578,36.0,0.563,0.265,3.0,-10.563,1,0.0321,0.972,0.0164,0.12,0.26,132.207,3.630283333,4,0
1739,1.0,0.403,0.903,1.0,-3.88,1,0.0664,0.574,0.305,0.287,0.498,115.669,423840.0,4,10
4997,55.0,0.247,0.869,1.0,-8.382,1,0.0542,0.0104,8.59e-06,0.0954,0.601,175.26,255327.0,4,10
5456,44.0,0.467,0.193,1.0,-18.895,1,0.0315,0.731,0.107,0.105,0.108,100.006,5.4,4,0
3360,47.0,0.742,0.503,5.0,-8.396,0,0.0621,0.0604,0.066,0.12,0.444,74.004,282323.0,4,10
6137,31.0,0.666,0.463,1.0,-7.806,0,0.086,0.413,0.00392,0.232,0.497,84.903,140965.0,4,5
7235,37.0,0.643,0.98,2.0,-6.171,1,0.0623,0.0118,5.71e-05,0.642,0.686,94.819,246627.0,4,10
736,55.0,0.607,0.658,6.0,-5.552,0,0.0262,0.0103,0.0224,0.0537,0.567,99.983,207587.0,4,1
1940,32.0,0.899,0.726,10.0,-9.273,1,0.172,0.000726,0.02,0.109,0.708,115.009,219136.0,4,6
1430,44.0,0.411,0.512,9.0,-7.491,1,0.027,0.387,0.00392,0.0676,0.0544,83.399,3.44396667,4,0
3150,3.0,0.774,0.497,11.0,-13.448,1,0.0293,0.279,7.14e-06,0.119,0.768,115.994,177400.0,4,10
755,21.0,0.732,0.55,2.0,-8.711,0,0.0397,0.809,0.091,0.0914,0.235,132.974,6.133783333,1,0
2660,60.0,0.614,0.474,11.0,-10.133,0,0.0264,0.00563,0.00285,0.1,0.388,104.987,237653.0,4,10
6994,39.0,0.467,0.985,11.0,-2.347,0,0.211,6.36e-05,0.0101,0.378,0.258,125.06,224160.0,4,8
3064,65.0,0.542,0.458,6.0,-10.885,0,0.386,0.493,0.00392,0.0875,0.496,99.218,212695.0,4,5
1385,44.0,0.512,0.601,8.0,-6.84,1,0.0267,0.00187,0.00392,0.0535,0.821,96.046,170861.0,1,10
5348,36.0,0.528,0.477,3.0,-10.454,1,0.0358,0.978,0.557,0.112,0.422,111.511,3.904,4,3
5349,47.0,0.704,0.111,9.0,-19.914,0,0.0599,0.925,0.889,0.106,0.179,74.969,3.525,4,7
6363,40.0,0.591,0.732,10.0,-8.522,1,0.0329,0.435,0.924,0.148,0.712,117.981,218450.0,4,6
6945,71.0,0.701,0.539,2.0,-8.968,1,0.0277,0.000655,0.005,0.0589,0.752,107.531,312627.0,4,10
2735,54.0,0.583,0.433,10.0,-8.309,0,0.0501,0.746,0.00392,0.133,0.22,127.513,215625.0,4,9
835,44.0,0.524,0.613,1.0,-10.025,1,0.0256,0.0135,0.653,0.086,0.443,102.399,362960.0,4,10
3938,67.0,0.573,0.929,11.0,-5.996,1,0.082,0.00218,0.0723,0.718,0.284,97.57,289560.0,4,8
2490,46.0,0.647,0.627,7.0,-7.156,0,0.0236,0.000119,0.0162,0.331,0.445,94.204,290507.0,4,10
6589,67.0,0.586,0.777,5.0,-6.185,0,0.0303,4.78e-05,0.00147,0.0729,0.424,143.339,220468.0,4,6
5219,89.0,0.789,0.536,6.0,-6.862,1,0.242,0.41,0.00392,0.129,0.437,81.039,2.76543333,4,9
5785,63.0,0.71,0.415,8.0,-9.561,1,0.0908,0.902,0.00236,0.149,0.418,92.016,86749.0,4,6
2171,49.0,0.512,0.875,9.0,-7.07,0,0.046,0.00161,1.02e-05,0.0957,0.497,137.014,349747.0,4,8
1039,92.0,0.586,0.616,5.0,-7.964,1,0.0324,0.182,0.00392,0.0927,0.719,148.088,4.03493333,4,9
5194,25.0,0.117,0.916,1.0,-3.281,1,0.0723,1.39e-05,0.0992,0.219,0.423,151.886,270205.0,4,1
7297,26.0,0.426,0.961,6.0,-2.859,1,0.066,7.66e-06,0.18,0.118,0.344,95.0,236000.0,4,8
6565,52.0,0.524,0.265,6.0,-15.365,1,0.0282,0.933,0.886,0.186,0.218,106.487,4.8995,3,7
2439,48.0,0.292,0.927,7.0,-5.142,0,0.081,0.000126,0.0417,0.178,0.403,92.236,190800.0,4,10
5276,31.0,0.426,0.92,6.0,-5.503,1,0.0447,0.000114,0.00412,0.335,0.688,127.532,227120.0,4,1
5793,16.0,0.271,0.48,7.0,-13.697,0,0.0328,0.821,0.925,0.0841,0.57,105.868,1041200.0,3,6
6843,33.0,0.457,0.869,7.0,-6.663,1,0.0401,0.000496,0.000443,0.399,0.181,146.024,355640.0,4,10
4325,31.0,0.571,0.725,5.0,-5.628,0,0.0361,0.0134,0.00907,0.0897,0.722,122.999,218413.0,4,2
6556,41.0,0.366,0.662,4.0,-4.914,1,0.034,0.00261,0.00392,0.0594,0.362,148.34,284000.0,3,10
5619,38.0,0.65,0.63,11.0,-6.787,0,0.04,0.278,8.55e-05,0.119,0.74,107.69,218747.0,4,2
2981,41.0,0.317,0.99,9.0,-6.162,1,0.154,0.0272,0.651,0.224,0.0336,137.196,273763.0,4,8
463,9.0,0.502,0.922,5.0,-3.911,1,0.351,0.767,9.93e-06,0.239,0.741,129.215,5.60355,3,3
4193,42.0,0.493,0.907,6.0,-4.058,1,0.0716,0.000133,0.00438,0.131,0.258,120.047,292501.0,4,8
4232,44.0,0.179,0.0119,9.0,-31.3,0,0.0472,0.993,0.9,0.0548,0.0475,90.397,3.00555,4,7
7383,23.0,0.544,0.381,10.0,-11.48,0,0.0582,0.307,0.00392,0.104,0.4,146.731,254235.0,4,2
3853,32.0,0.632,0.554,7.0,-10.513,1,0.0455,0.535,0.131,0.7,0.706,131.462,263059.0,4,2
7386,29.0,0.299,0.941,6.0,-7.28,1,0.0478,0.000554,0.0953,0.0519,0.674,130.036,174000.0,3,10
1037,77.0,0.527,0.942,1.0,-5.64,0,0.0366,0.0115,0.00392,0.188,0.495,148.723,4.02178333,4,10
6181,58.0,0.338,0.673,6.0,-7.67,0,0.0459,0.00344,0.129,0.211,0.132,112.255,270416.0,4,8
7311,61.0,0.563,0.606,11.0,-8.159,1,0.0267,0.513,0.0391,0.132,0.425,150.0,248253.0,4,1
270,28.0,0.61,0.812,11.0,-5.289,0,0.0391,0.393,7.9e-05,0.344,0.586,94.026,202184.0,4,10
3045,36.0,0.602,0.81,4.0,-7.877,0,0.0346,0.311,0.0108,0.276,0.636,138.722,273053.0,4,10
903,36.0,0.234,0.938,11.0,-2.49,0,0.116,0.00455,8.88e-05,0.225,0.52,176.989,278468.0,4,10
6887,61.0,0.665,0.766,10.0,-9.454,0,0.0505,0.0492,0.338,0.113,0.905,73.683,219307.0,4,6
1259,36.0,0.603,0.57,2.0,-12.545,1,0.0512,0.265,0.827,0.0813,0.483,116.322,339333.0,4,10
5221,31.0,0.554,0.918,8.0,-6.172,0,0.107,2.86e-05,0.704,0.551,0.27,120.05,356160.0,4,8
6903,57.0,0.537,0.92,10.0,-3.438,0,0.274,0.00592,0.00392,0.34,0.843,185.703,177160.0,4,10
6499,49.0,0.437,0.995,11.0,-4.997,1,0.142,7.83e-06,0.165,0.316,0.038,118.049,392067.0,4,8
7567,57.0,0.836,0.367,7.0,-4.267,1,0.126,0.0297,0.00392,0.151,0.212,78.009,135421.0,4,5
7222,42.0,0.479,0.58,2.0,-8.793,1,0.0403,0.603,1.62e-05,0.0745,0.384,95.994,3.670216667,4,0
2293,18.0,0.76,0.532,9.0,-9.246,1,0.0427,0.0112,0.715,0.119,0.139,140.079,197221.0,4,5
1076,36.0,0.366,0.726,4.0,-4.479,1,0.0332,0.000988,0.000108,0.097,0.246,137.124,238826.0,4,10
1985,31.0,0.816,0.891,11.0,-2.084,0,0.0605,0.154,0.000217,0.378,0.412,124.998,169921.0,4,9
231,44.0,0.789,0.743,6.0,-6.113,0,0.0861,0.0234,0.015,0.489,0.629,109.987,175205.0,4,6
4018,38.0,0.528,0.921,6.0,-5.838,0,0.0693,0.000959,0.258,0.13,0.768,134.517,205693.0,4,10
4006,46.0,0.621,0.897,7.0,-8.113,0,0.0317,0.135,0.00239,0.208,0.906,162.127,195253.0,4,10
4775,41.0,0.415,0.94,6.0,-4.874,1,0.0889,0.0049,0.00392,0.144,0.439,134.392,225627.0,4,6
4404,29.0,0.447,0.81,2.0,-4.246,1,0.0379,0.000376,2.42e-05,0.184,0.326,155.921,154761.0,4,6
4891,44.0,0.401,0.173,5.0,-14.466,1,0.0418,0.973,0.00948,0.137,0.149,79.643,3.862716667,4,7
5773,62.0,0.536,0.65,2.0,-5.603,1,0.0337,0.282,1.16e-06,0.0876,0.288,147.93,5.033116667,4,4
3447,50.0,0.818,0.456,6.0,-7.419,1,0.038,0.823,7.35e-05,0.127,0.784,113.992,3.06205,4,0
1817,73.0,0.322,0.28,6.0,-9.367,0,0.0281,0.468,1.1e-06,0.102,0.175,85.794,248467.0,4,8
1798,66.0,0.473,0.783,10.0,-10.671,0,0.0869,0.0125,0.475,0.268,0.124,91.976,340640.0,4,8
3440,41.0,0.323,0.0315,9.0,-30.707,0,0.0384,0.993,0.917,0.11,0.352,83.099,2.274666667,3,7
2354,69.0,0.234,0.865,9.0,-5.131,1,0.0516,3.62e-05,0.000532,0.289,0.194,137.107,255960.0,4,10
7100,38.0,0.66,0.154,5.0,-16.855,1,0.0429,0.935,0.823,0.0892,0.128,96.226,4.434333333,4,7
4672,8.0,0.863,0.446,7.0,-12.644,1,0.281,0.486,0.00392,0.0931,0.243,117.919,201356.0,4,5
3749,47.0,0.846,0.451,7.0,-4.168,1,0.124,0.263,1.74e-06,0.12,0.63,85.942,146305.0,4,1
7552,32.0,0.588,0.223,5.0,-16.551,0,0.0487,0.776,0.000631,0.106,0.412,126.747,650467.0,4,2
2550,69.0,0.497,0.349,7.0,-14.0,1,0.0297,0.0929,0.028,0.259,0.421,113.762,365627.0,4,10
98,44.0,0.471,0.34,6.0,-18.042,1,0.0405,0.672,0.753,0.12,0.46,99.424,5.290666667,3,7
3721,36.0,0.393,0.878,9.0,-2.553,1,0.0908,0.00316,3.72e-05,0.298,0.4,142.997,188880.0,4,10
6819,37.0,0.327,0.881,8.0,-7.981,0,0.047,0.00279,0.788,0.224,0.221,100.922,385360.0,4,10
649,22.0,0.279,0.975,7.0,-7.294,1,0.124,8.83e-05,0.0603,0.333,0.0447,144.943,204629.0,4,8
1312,71.0,0.574,0.58,7.0,-6.091,1,0.0278,0.076,0.00392,0.12,0.4,149.974,3.121783333,4,4
469,18.0,0.559,0.551,6.0,-10.307,1,0.0731,0.745,0.858,0.0878,0.909,137.15,4.951133333,4,3
7611,30.0,0.614,0.836,4.0,-8.647,0,0.0338,0.0685,0.00104,0.0214,0.81,97.992,231133.0,4,9
2347,68.0,0.639,0.715,6.0,-8.954,0,0.0392,0.0243,0.000552,0.619,0.813,128.072,238853.0,4,6
3559,43.0,0.417,0.497,7.0,-7.812,1,0.0325,0.0097,0.00021,0.126,0.0698,119.867,332973.0,4,10
786,60.0,0.697,0.41,7.0,-9.149,1,0.144,0.412,0.79,0.111,0.377,166.133,164947.0,4,1
6429,27.0,0.6,0.51,9.0,-8.318,1,0.0446,0.16,0.000314,0.424,0.512,120.4,190297.0,4,1
2784,34.0,0.44,0.984,5.0,-6.091,1,0.112,2.84e-06,0.93,0.156,0.0382,104.979,311986.0,4,8
517,40.0,0.652,0.515,11.0,-12.034,0,0.0324,0.239,0.751,0.0991,0.203,134.969,244000.0,1,1
551,39.0,0.492,0.954,8.0,-3.757,0,0.106,0.000333,0.00392,0.338,0.184,127.988,264375.0,4,10
2108,30.0,0.189,0.995,11.0,-7.07,1,0.116,2.86e-06,0.88,0.771,0.0336,81.58,261920.0,4,8
2646,37.0,0.236,0.485,10.0,-8.975,1,0.0288,0.234,0.071,0.11,0.123,97.577,262200.0,4,1
5510,39.0,0.479,0.939,11.0,-3.826,0,0.059,0.0417,3.66e-06,0.323,0.547,93.047,279086.0,4,2
445,52.0,0.435,0.774,2.0,-5.052,1,0.0631,0.014,0.00392,0.127,0.448,147.466,228707.0,4,10
3130,62.0,0.551,0.839,9.0,-4.555,1,0.0787,0.0818,0.00392,0.151,0.681,116.051,144013.0,4,6
1139,82.0,0.681,0.174,1.0,-8.745,1,0.0315,0.837,3.35e-05,0.0983,0.231,112.672,260285.0,4,9
285,38.0,0.707,0.611,7.0,-7.058,0,0.032,0.473,4.43e-06,0.0729,0.884,134.933,397707.0,4,2
3214,34.0,0.549,0.867,2.0,-4.666,1,0.0371,0.0108,4.46e-06,0.171,0.486,110.032,186760.0,4,6
5831,48.0,0.698,0.553,1.0,-7.615,1,0.0583,0.02,0.00174,0.0837,0.519,117.015,217489.0,4,10
5871,44.0,0.532,0.953,6.0,-4.09,1,0.102,0.000113,3.49e-05,0.118,0.416,137.036,182188.0,4,8
3128,64.0,0.396,0.77,9.0,-4.728,1,0.06,0.0184,0.00392,0.12,0.412,177.542,170733.0,4,10
3222,51.0,0.522,0.812,6.0,-6.606,1,0.0346,0.0253,2.87e-05,0.131,0.459,121.529,181333.0,4,10
7619,47.0,0.271,0.882,7.0,-8.483,1,0.06,0.0404,0.00201,0.0826,0.423,142.92,154667.0,4,10
5387,25.0,0.389,0.236,5.0,-11.633,1,0.0388,0.803,0.74,0.11,0.139,137.499,4.537783333,4,7
409,14.0,0.309,0.307,8.0,-9.591,1,0.0335,0.869,0.808,0.345,0.0392,103.553,358000.0,4,6
3832,14.0,0.172,0.0494,10.0,-21.748,1,0.0387,0.866,0.155,0.0791,0.0391,51.134,278698.0,4,6
423,42.0,0.78,0.653,2.0,-7.085,1,0.0311,0.42,0.0316,0.0997,0.527,116.008,215293.0,4,6
4662,48.0,0.386,0.561,9.0,-5.879,1,0.0324,0.806,0.00392,0.11,0.416,78.884,3.60618333,4,0
781,59.0,0.688,0.737,6.0,-9.31,0,0.0678,0.0769,0.641,0.114,0.666,131.042,194760.0,4,6
1915,32.0,0.742,0.403,9.0,-12.167,1,0.257,0.0103,0.0108,0.136,0.485,177.072,187636.0,4,9
5770,48.0,0.32,0.94,2.0,-4.823,0,0.0866,0.000402,0.14,0.235,0.0724,182.189,234547.0,4,10
3561,52.0,0.882,0.476,6.0,-9.235,1,0.0528,0.458,2.47e-06,0.0445,0.964,112.65,138533.0,4,2
6662,36.0,0.383,0.828,6.0,-6.322,1,0.0359,0.033,3.05e-05,0.35,0.845,135.067,221907.0,4,10
4573,23.0,0.45,0.722,6.0,-5.143,1,0.0345,0.342,0.00392,0.114,0.373,159.947,273453.0,4,9
4074,46.0,0.837,0.767,11.0,-6.086,1,0.167,0.515,0.00392,0.278,0.756,115.963,158077.0,4,9
3973,56.0,0.676,0.334,5.0,-10.572,1,0.0508,0.862,0.00392,0.32,0.867,158.0,162040.0,4,2
6506,70.0,0.472,0.745,4.0,-5.297,1,0.0356,0.000607,2.74e-05,0.0957,0.0631,180.06,252926.0,4,9
3993,47.0,0.803,0.581,9.0,-8.054,1,0.17,0.0258,0.84,0.0768,0.163,125.007,253440.0,4,1
3491,59.0,0.803,0.806,6.0,-7.805,1,0.265,0.00761,0.00544,0.101,0.624,94.994,289907.0,4,5
7404,33.0,0.263,0.892,4.0,-7.704,1,0.0597,1.52e-05,0.783,0.129,0.141,113.98,380773.0,4,8
6923,22.0,0.329,0.905,7.0,-5.728,1,0.0546,8.63e-05,0.0037,0.11,0.711,145.149,183560.0,4,1
2288,35.0,0.417,0.569,4.0,-7.56,1,0.0303,0.000302,0.606,0.104,0.0352,140.02,366957.0,4,6
2414,42.0,0.897,0.466,10.0,-10.18,1,0.0478,0.556,0.000165,0.119,0.522,104.944,175313.0,4,6
3448,54.0,0.713,0.735,10.0,-5.502,0,0.051,0.000879,0.535,0.235,0.501,125.995,257263.0,4,1
7785,34.0,0.654,0.843,1.0,-7.264,0,0.0286,0.0392,0.0457,0.17,0.97,145.026,240661.0,4,6
405,24.0,0.384,0.995,6.0,-1.549,1,0.272,0.000519,0.0187,0.787,0.209,159.957,159373.0,4,8
6170,16.0,0.777,0.693,1.0,-10.473,1,0.439,0.246,0.0139,0.249,0.485,126.005,447000.0,4,1
1465,36.0,0.438,0.263,9.0,-9.017,1,0.0346,0.924,0.00392,0.101,0.452,82.449,168482.0,4,10
1934,21.0,0.272,0.947,5.0,-5.327,1,0.121,0.00122,0.288,0.769,0.0577,179.935,362653.0,3,8
955,43.0,0.314,0.592,9.0,-9.297,1,0.0409,0.00472,0.00392,0.268,0.282,80.458,243760.0,4,6
5926,38.0,0.485,0.409,6.0,-13.92,1,0.0278,0.245,0.251,0.0887,0.301,166.177,290733.0,4,10
771,19.0,0.388,0.826,6.0,-3.803,1,0.0439,2.65e-05,0.286,0.126,0.356,82.013,236676.0,4,10
5868,45.0,0.53,0.893,7.0,-5.426,0,0.0704,0.00027,0.37,0.095,0.585,135.076,241267.0,4,8
4084,40.0,0.571,0.158,2.0,-16.835,1,0.0779,0.964,0.919,0.108,0.308,114.315,3.068233333,4,7
5452,44.0,0.601,0.937,8.0,-4.314,0,0.0495,0.00349,0.908,0.0509,0.755,126.013,217143.0,4,1
3086,25.0,0.381,0.597,2.0,-8.669,1,0.0313,0.521,0.000247,0.203,0.463,174.108,274764.0,4,6
3171,12.0,0.636,0.918,9.0,-6.294,1,0.0559,0.531,9.85e-06,0.328,0.46,96.991,156773.0,4,2
3327,35.0,0.654,0.159,5.0,-15.9,1,0.0698,0.979,0.00706,0.0911,0.322,129.481,169600.0,4,2
3651,44.0,0.372,0.595,7.0,-11.152,1,0.0747,0.863,0.00221,0.31,0.393,104.427,4.646216667,4,3
3607,39.0,0.719,0.292,8.0,-8.47,0,0.0364,0.774,0.00392,0.327,0.452,85.986,208736.0,4,9
382,44.0,0.582,0.945,11.0,-5.95,0,0.089,0.00016,0.00392,0.668,0.389,123.041,166893.0,4,10
4991,64.0,0.592,0.877,2.0,-4.05,0,0.0502,0.0095,0.000171,0.131,0.712,117.106,241849.0,4,10
2018,36.0,0.361,0.577,6.0,-4.456,0,0.0286,0.246,6.64e-06,0.0627,0.134,151.768,213947.0,4,9
6992,70.0,0.467,0.481,2.0,-6.947,1,0.0255,0.227,0.000189,0.11,0.248,147.886,3.687333333,4,4
6841,40.0,0.492,0.942,6.0,-1.574,0,0.0757,0.00302,0.112,0.0531,0.845,168.026,180640.0,4,1
3097,63.0,0.83,0.682,2.0,-7.16,1,0.134,0.676,0.000367,0.123,0.762,97.849,239840.0,4,9
1324,48.0,0.731,0.892,9.0,-4.812,1,0.0621,0.128,0.0196,0.666,0.897,112.981,243450.0,4,2
606,56.0,0.839,0.793,6.0,-5.885,1,0.407,0.547,0.00392,0.134,0.771,143.978,161344.0,4,5
5353,41.0,0.56,0.28,10.0,-11.245,0,0.0392,0.797,0.00392,0.159,0.722,143.854,149167.0,4,9
5116,32.0,0.485,0.392,5.0,-7.744,0,0.0302,0.787,0.00392,0.111,0.313,71.375,245135.0,4,9
1627,56.0,0.663,0.26,4.0,-11.577,1,0.0312,0.84,0.000346,0.111,0.32,118.061,3.6224,4,0
7406,48.0,0.677,0.87,11.0,-4.569,0,0.0356,0.199,0.00392,0.304,0.737,94.984,149050.0,4,9
931,56.0,0.644,0.831,11.0,-7.118,0,0.0334,0.138,0.424,0.115,0.252,104.996,230893.0,4,1
4518,72.0,0.649,0.888,6.0,-4.807,1,0.0293,0.013,2.23e-06,0.0888,0.553,100.975,208467.0,4,1
4615,26.0,0.454,0.381,6.0,-13.133,0,0.0499,0.302,7.96e-05,0.289,0.315,75.058,4.533333333,4,0
3820,23.0,0.37,0.67,7.0,-11.007,0,0.0445,0.809,6.32e-06,0.236,0.802,177.164,5.209333333,3,3
4789,47.0,0.485,0.307,1.0,-13.129,1,0.0565,0.663,4.13e-05,0.123,0.132,80.171,4.3,4,0
3023,48.0,0.558,0.475,4.0,-8.623,1,0.0282,0.516,5.69e-06,0.107,0.344,116.924,4.15016667,4,0
4652,100.0,0.714,0.8,11.0,-4.808,0,0.0504,0.127,0.00392,0.359,0.589,134.002,3.526,4,9
4510,80.0,0.398,0.716,6.0,-5.254,1,0.0392,0.0764,0.00392,0.0848,0.494,117.295,3.223816667,4,9
6205,37.0,0.701,0.137,6.0,-16.397,1,0.0417,0.991,0.912,0.155,0.68,92.341,311813.0,4,2
349,40.0,0.637,0.878,9.0,-5.09,0,0.0565,0.0154,9.04e-05,0.362,0.684,152.074,189023.0,4,10
7073,51.0,0.588,0.699,7.0,-10.193,1,0.0589,0.0228,0.00404,0.0692,0.6,137.633,228000.0,4,10
3970,57.0,0.431,0.731,11.0,-6.188,0,0.0489,0.00709,0.00392,0.35,0.644,176.515,126463.0,5,5
7319,19.0,0.345,0.638,4.0,-9.083,0,0.0345,0.0346,0.445,0.102,0.211,135.98,461480.0,3,2
2396,52.0,0.702,0.815,11.0,-3.289,0,0.0296,0.0148,3.85e-05,0.0486,0.819,110.968,167253.0,4,10
4377,82.0,0.914,0.732,8.0,-6.1,0,0.241,0.0166,0.00392,0.107,0.469,94.066,171067.0,4,9
7826,36.0,0.786,0.46,1.0,-8.028,1,0.241,0.438,2.35e-05,0.114,0.413,139.981,174962.0,4,5
3531,23.0,0.605,0.574,1.0,-12.217,1,0.0588,0.744,0.904,0.213,0.176,89.941,230000.0,3,6
1706,17.0,0.476,0.724,8.0,-12.96,0,0.032,0.0201,0.751,0.113,0.41,137.998,311100.0,4,6
2498,64.0,0.545,0.578,2.0,-8.745,1,0.0406,0.0114,6.57e-05,0.0692,0.819,128.038,238907.0,4,6
6677,53.0,0.298,0.953,5.0,-3.334,0,0.192,0.000375,0.00392,0.1,0.127,172.023,298826.0,4,8
4167,51.0,0.603,0.443,6.0,-7.73,1,0.0288,0.533,2.24e-06,0.097,0.421,134.891,246227.0,4,6
2995,38.0,0.652,0.984,9.0,-3.642,0,0.197,0.00258,0.719,0.0456,0.838,148.004,327520.0,4,1
5427,47.0,0.352,0.204,3.0,-15.414,1,0.0311,0.76,0.000426,0.327,0.524,83.342,3.79645,4,4
3938,72.0,0.595,0.489,7.0,-6.66,1,0.0271,0.497,0.00392,0.119,0.0902,120.315,269973.0,4,10
2033,38.0,0.631,0.948,6.0,-4.459,1,0.11,0.0286,0.0198,0.0556,0.57,130.053,197043.0,4,10
6364,4.0,0.421,0.891,4.0,-4.05,1,0.0386,0.00512,0.121,0.331,0.296,139.999,246813.0,4,10
2749,44.0,0.401,0.591,2.0,-4.65,1,0.0299,0.00252,0.00278,0.313,0.691,82.133,164645.0,4,2
5054,67.0,0.491,0.867,6.0,-2.313,0,0.103,0.167,0.00392,0.458,0.602,167.965,189187.0,4,10
6064,24.0,0.509,0.935,6.0,-5.26,1,0.0805,0.021,0.0741,0.133,0.823,165.003,149065.0,4,1
5177,34.0,0.226,0.955,2.0,-6.291,1,0.11,3.54e-05,0.863,0.111,0.24,101.866,267880.0,4,10
4156,85.0,0.731,0.675,5.0,-5.134,0,0.0434,0.00473,0.00392,0.141,0.298,124.939,139461.0,4,10
2299,41.0,0.386,0.475,6.0,-8.254,0,0.0265,0.843,0.000106,0.355,0.391,106.538,200000.0,3,2
4189,88.0,0.758,0.913,6.0,-2.926,0,0.113,0.00364,6.92e-05,0.193,0.658,128.04,186210.0,4,9
5164,65.0,0.369,0.441,4.0,-11.879,1,0.0327,0.931,0.0199,0.105,0.218,128.968,241640.0,3,6
4766,19.0,0.831,0.444,9.0,-5.787,0,0.0433,0.000351,0.000216,0.0724,0.924,121.994,192120.0,4,6
7009,36.0,0.44,0.905,8.0,-6.308,1,0.0477,0.000348,0.00182,0.104,0.568,83.978,246006.0,4,10
2495,50.0,0.515,0.752,9.0,-1.853,0,0.0336,0.00207,2.5e-06,0.129,0.503,83.541,324787.0,4,10
701,37.0,0.506,0.22,7.0,-13.371,1,0.0328,0.922,0.139,0.0806,0.496,93.583,168779.0,4,1
